,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
3858,0.6190476190476191,0.5779816513761468,0.44155844155844154,0.26,0.6129032258064516,0.5740740740740741,0.44155844155844154,0.25225225225225223,0.5483870967741935,0.6534653465346535,0.3875,0.3448275862068966,0.6031746031746031,0.5818181818181818,0.44155844155844154,0.29245283018867924,0.6031746031746031,0.5825242718446602,0.4025974025974026,0.2647058823529412,0.532258064516129,0.6138613861386139,0.46153846153846156,0.35344827586206895,0.59375,0.5769230769230769,0.45569620253164556,0.24299065420560748,0.5873015873015873,0.5825242718446602,0.44155844155844154,0.25688073394495414,0.53125,0.5825242718446602,0.4772727272727273,0.3474576271186441
65,0.5396825396825397,0.5779816513761468,0.4025974025974026,0.28,0.532258064516129,0.5092592592592593,0.4025974025974026,0.23423423423423423,0.532258064516129,0.5445544554455446,0.375,0.29310344827586204,0.3492063492063492,0.4,0.2077922077922078,0.1320754716981132,0.4126984126984127,0.42718446601941745,0.2077922077922078,0.13725490196078433,0.4032258064516129,0.45544554455445546,0.28205128205128205,0.2413793103448276,0.375,0.33653846153846156,0.13924050632911392,0.056074766355140186,0.30158730158730157,0.33980582524271846,0.06493506493506493,0.07339449541284404,0.3125,0.33980582524271846,0.19318181818181818,0.211864406779661
2273,0.746031746031746,0.7614678899082569,0.6623376623376623,0.48,0.7419354838709677,0.7592592592592593,0.6623376623376623,0.4144144144144144,0.6774193548387096,0.8118811881188119,0.6625,0.5,0.8571428571428571,0.7454545454545455,0.7142857142857143,0.3867924528301887,0.7777777777777778,0.8349514563106796,0.7142857142857143,0.47058823529411764,0.8548387096774194,0.8316831683168316,0.7307692307692307,0.5,0.8125,0.8173076923076923,0.6835443037974683,0.4672897196261682,0.8095238095238095,0.8737864077669902,0.7402597402597403,0.5137614678899083,0.875,0.8737864077669902,0.9090909090909091,0.5508474576271186
1160,0.3492063492063492,0.6513761467889908,0.5064935064935064,0.42,0.4032258064516129,0.6111111111111112,0.5064935064935064,0.3333333333333333,0.4032258064516129,0.6534653465346535,0.5625,0.3879310344827586,0.3492063492063492,0.6818181818181818,0.6753246753246753,0.4056603773584906,0.4126984126984127,0.6796116504854369,0.5584415584415584,0.35294117647058826,0.3387096774193548,0.5841584158415841,0.47435897435897434,0.33620689655172414,0.375,0.7596153846153846,0.759493670886076,0.4672897196261682,0.36507936507936506,0.7669902912621359,0.6883116883116883,0.47706422018348627,0.4375,0.7281553398058253,0.7386363636363636,0.4915254237288136
269,0.746031746031746,0.6880733944954128,0.6103896103896104,0.43,0.6774193548387096,0.6481481481481481,0.5454545454545454,0.2972972972972973,0.5967741935483871,0.6138613861386139,0.4125,0.31896551724137934,0.4603174603174603,0.4727272727272727,0.2857142857142857,0.20754716981132076,0.4603174603174603,0.46601941747572817,0.18181818181818182,0.18627450980392157,0.45161290322580644,0.49504950495049505,0.2564102564102564,0.27586206896551724,0.359375,0.375,0.1518987341772152,0.14953271028037382,0.4126984126984127,0.4174757281553398,0.12987012987012986,0.1651376146788991,0.421875,0.44660194174757284,0.2840909090909091,0.2627118644067797
3110,0.42857142857142855,0.44954128440366975,0.2077922077922078,0.17,0.41935483870967744,0.4444444444444444,0.2077922077922078,0.0990990990990991,0.41935483870967744,0.4752475247524752,0.175,0.19827586206896552,0.42857142857142855,0.4727272727272727,0.2727272727272727,0.1792452830188679,0.42857142857142855,0.5048543689320388,0.22077922077922077,0.14705882352941177,0.41935483870967744,0.45544554455445546,0.24358974358974358,0.1896551724137931,0.421875,0.5,0.21518987341772153,0.16822429906542055,0.4126984126984127,0.46601941747572817,0.24675324675324675,0.14678899082568808,0.421875,0.46601941747572817,0.3068181818181818,0.2796610169491525
4403,0.746031746031746,0.7155963302752294,0.6883116883116883,0.43,0.7419354838709677,0.7129629629629629,0.5714285714285714,0.36936936936936937,0.7419354838709677,0.7623762376237624,0.575,0.45689655172413796,0.6825396825396826,0.6909090909090909,0.5454545454545454,0.3490566037735849,0.746031746031746,0.7378640776699029,0.5454545454545454,0.3627450980392157,0.6774193548387096,0.7326732673267327,0.6153846153846154,0.4396551724137931,0.609375,0.6538461538461539,0.5063291139240507,0.32710280373831774,0.6031746031746031,0.7378640776699029,0.4935064935064935,0.3394495412844037,0.6875,0.6990291262135923,0.5681818181818182,0.423728813559322
451,0.6825396825396826,0.6880733944954128,0.5454545454545454,0.39,0.5967741935483871,0.6481481481481481,0.44155844155844154,0.2972972972972973,0.5967741935483871,0.6534653465346535,0.5,0.3879310344827586,0.3968253968253968,0.509090909090909,0.33766233766233766,0.20754716981132076,0.5238095238095238,0.5825242718446602,0.38961038961038963,0.29411764705882354,0.6451612903225806,0.6138613861386139,0.46153846153846156,0.3793103448275862,0.546875,0.5192307692307693,0.27848101265822783,0.18691588785046728,0.5396825396825397,0.5533980582524272,0.3116883116883117,0.2018348623853211,0.546875,0.6213592233009708,0.45454545454545453,0.3644067796610169
4659,0.30158730158730157,0.5504587155963303,0.5064935064935064,0.39,0.2903225806451613,0.42592592592592593,0.4025974025974026,0.3333333333333333,0.3387096774193548,0.49504950495049505,0.4625,0.4224137931034483,0.30158730158730157,0.45454545454545453,0.36363636363636365,0.330188679245283,0.36507936507936506,0.5242718446601942,0.36363636363636365,0.38235294117647056,0.3548387096774194,0.5544554455445545,0.4358974358974359,0.4224137931034483,0.375,0.6153846153846154,0.5063291139240507,0.34579439252336447,0.42857142857142855,0.5825242718446602,0.44155844155844154,0.3577981651376147,0.3125,0.5436893203883495,0.5227272727272727,0.4406779661016949
244,0.746031746031746,0.6880733944954128,0.6623376623376623,0.48,0.6774193548387096,0.7222222222222222,0.6623376623376623,0.3783783783783784,0.7419354838709677,0.8217821782178217,0.6625,0.5,0.6825396825396826,0.7636363636363637,0.6623376623376623,0.4528301886792453,0.6825396825396826,0.7766990291262136,0.7272727272727273,0.47058823529411764,0.7419354838709677,0.8118811881188119,0.8076923076923077,0.5344827586206896,0.78125,0.7884615384615384,0.7215189873417721,0.4485981308411215,0.7777777777777778,0.8349514563106796,0.6493506493506493,0.4954128440366973,0.78125,0.8349514563106796,0.8181818181818182,0.5677966101694916
